time;open;high;low;close;Volume;Volume MA;RSI_1
17.08.2017 06:00;4261.48;4349.99;4261.32;4349.99;82.088865;NaN;NaN
17.08.2017 10:00;4333.32;4485.39;4333.32;4427.3;63.619882;NaN;NaN
17.08.2017 14:00;4436.06;4485.39;4333.42;4352.34;174.562001;NaN;NaN
17.08.2017 18:00;4352.33;4354.84;4200.74;4325.23;225.109716;NaN;NaN
17.08.2017 22:00;4307.56;4369.69;4258.56;4285.08;249.769913;NaN;NaN
18.08.2017 02:00;4285.08;4340.62;4134.61;4292.39;276.193043;NaN;NaN
18.08.2017 06:00;4292.39;4340.62;4234.43;4300.25;248.389029;NaN;NaN
18.08.2017 10:00;4285;4371.52;4259.85;4340.31;196.140129;NaN;NaN
18.08.2017 14:00;4320.52;4340.31;4193.7;4236.89;175.969384;NaN;NaN
18.08.2017 18:00;4234.54;4297.75;4015.7;4136.28;193.64697;NaN;NaN
18.08.2017 22:00;4135;4136.48;3938.77;4108.37;109.549709;NaN;NaN
19.08.2017 02:00;4108.37;4184.69;4084.28;4138.55;108.510448;NaN;NaN
19.08.2017 06:00;4138.5;4156;3933.21;4033.47;112.752079;NaN;NaN
19.08.2017 10:00;4033.47;4082.25;3850;3957.6;77.256042;NaN;NaN
19.08.2017 14:00;3945.12;4100;3928.89;3972.05;47.515578;NaN;24.19429726334201
19.08.2017 18:00;4036.19;4103.92;3953.4;4076.12;25.925056;NaN;34.25635578165233
19.08.2017 22:00;4088.71;4149.99;4051.47;4139.98;9.35056;NaN;39.558014032621834
20.08.2017 02:00;4120.98;4139.98;4044;4094.62;6.611283;NaN;37.25961647756252
20.08.2017 06:00;4094.62;4156.56;4081.19;4155.87;28.60391;NaN;42.14760050269132
20.08.2017 10:00;4155.87;4211.08;4032.62;4106.53;36.019943;122.37917699999998;39.4793284880011
20.08.2017 14:00;4106.53;4125.43;4063.35;4125;29.113266;119.73039704999997;40.98547965167302
20.08.2017 18:00;4125;4185.94;4091.59;4164.6;169.995517;125.04917879999996;44.19228108422397
20.08.2017 22:00;4161.59;4171.62;4069.13;4086.29;196.739103;126.15803389999996;39.60864722725715
21.08.2017 02:00;4069.13;4119.62;4039;4084.76;220.838143;125.94445524999996;39.5223959263444
21.08.2017 06:00;4079.26;4104.68;3953.4;4043.63;222.575129;124.58471604999995;37.17859571991792
21.08.2017 10:00;4043.63;4088.12;4000.01;4023.11;78.878314;114.71897959999994;36.030569567819946
21.08.2017 14:00;4023.11;4023.11;3911.79;4022;43.762796;104.48766794999995;35.96587322753642
21.08.2017 18:00;4005.99;4042.11;3918.8;4027.05;24.46693;95.90400799999995;36.524303743759255
21.08.2017 22:00;4027.05;4070.49;3950;4016;101.221748;92.16662619999995;35.78884068250106
22.08.2017 02:00;4016;4016;3688.97;3862.39;114.685346;88.21854499999995;27.499124216596684
22.08.2017 06:00;3863;3868.57;3400;3798.08;167.221519;91.10213549999995;24.898872285682415
22.08.2017 10:00;3798.08;3920.31;3750.08;3866.48;221.731236;96.76317489999995;32.23800931222968
22.08.2017 14:00;3866.48;3990.12;3786.81;3858.23;179.358421;100.09349199999994;31.83392567369002
22.08.2017 18:00;3858.23;4104.82;3853.47;3984.24;159.535655;104.20747264999996;43.4858130900746
22.08.2017 22:00;3984.5;4061.54;3944.03;4040;124.152681;108.03932779999995;47.742566652342134
23.08.2017 02:00;4040;4127.99;4013.89;4100.41;159.658384;114.72599419999995;51.96398818885276
23.08.2017 06:00;4084.54;4115.87;4035.32;4074.88;141.839603;121.35044634999994;50.12126814683615
23.08.2017 10:00;4081.63;4242.32;4057;4237.99;135.024022;127.77108329999994;59.9042216397674
23.08.2017 14:00;4205.98;4265.8;4150.65;4197.05;237.360569;138.20891624999996;56.88823786193244
23.08.2017 18:00;4226.94;4259.58;4103.51;4117.07;174.637585;145.13979834999995;51.439606178140274
23.08.2017 22:00;4136.48;4178.65;4069.8;4114.01;152.616402;151.31495514999997;51.237408188564864
24.08.2017 02:00;4147;4204.55;4085.01;4113.58;123.52015;148.99118679999998;51.20694749424118
24.08.2017 06:00;4113.58;4177.64;4090.39;4153.32;123.17946;145.31320464999996;53.93271822113385
24.08.2017 10:00;4153.8;4250.94;4150;4202;171.486488;142.84562189999997;57.094634257549984
24.08.2017 14:00;4211.78;4250.9;4136.33;4222;146.997342;139.06673254999998;58.359198608324284
24.08.2017 18:00;4223.06;4250.77;4178.22;4216.07;111.579358;140.70178474999997;57.81509705447179
24.08.2017 22:00;4216.1;4371.68;4193.17;4316.01;110.655955;144.0464427;63.9203335985182
25.08.2017 02:00;4316.01;4370;4295.75;4312.69;141.104526;149.8783225;63.59108412296837
25.08.2017 06:00;4312.69;4362;4267.5;4329;101.509543;149.89271225;64.55695191361639
25.08.2017 10:00;4317.81;4361.28;4298.74;4361.27;74.43306;147.88009795;66.45318168374877
25.08.2017 14:00;4361.27;4422.29;4261.13;4394.36;164.206656;147.72935479999995;68.32457401686102
25.08.2017 18:00;4394.36;4453.91;4284.11;4307.17;52.39933;139.26275949999996;58.98717903390661
25.08.2017 22:00;4326;4365;4247.48;4280.68;39.959625;132.29281969999997;56.462485021564895
26.08.2017 02:00;4280.71;4315;4228.99;4297.94;41.638568;126.39796534999996;57.731910633079444
26.08.2017 06:00;4297.94;4319.7;4252.44;4319.7;28.707288;121.62569569999997;59.34143818372285
26.08.2017 10:00;4319.7;4319.7;4260.88;4288.72;36.153081;115.45043054999996;56.06797205169366
26.08.2017 14:00;4288.72;4306.74;4221.14;4275;34.654984;110.09119959999995;54.63068403681647
26.08.2017 18:00;4275;4351.32;4212.41;4293.52;47.431108;105.71155389999997;56.26062937404239
26.08.2017 22:00;4293.52;4367;4279;4337.44;39.523039;95.81967739999996;59.936542720003395
27.08.2017 02:00;4332.51;4400;4314.91;4314.91;62.980388;90.23681754999997;57.27729509874887
27.08.2017 06:00;4329.19;4370.85;4293.42;4313.84;47.478199;84.97990739999997;57.14761525673327
27.08.2017 10:00;4331.29;4352.34;4285.56;4323.37;57.138682;81.66083399999997;58.0584267367373
27.08.2017 14:00;4340;4340;4285.54;4325;35.277424;77.26573219999997;58.22198807565447
27.08.2017 18:00;4290.01;4386.78;4290.01;4368.41;72.11126;72.29697079999997;62.42466204454139
27.08.2017 22:00;4336.12;4386.79;4309.6;4310.01;75.706632;68.73243529999995;54.48403276833946
28.08.2017 02:00;4310.01;4330.36;4239.36;4239.37;73.295355;66.81823514999995;46.73934567418046
28.08.2017 06:00;4239.36;4297.11;4124.54;4261.9;94.397198;66.00529729999997;49.21867296407279
28.08.2017 10:00;4261.9;4365.4;4226.93;4308;121.722034;65.03617269999995;53.94307372708585
28.08.2017 14:00;4309;4347;4271.03;4273.59;121.858551;66.05362309999995;50.1896685925956
